city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_75,0.939,nan,No relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,13,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,2,60,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,2,29,Yes
city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,>4,100,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,54,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,168,No
city_11,0.55,Male,Has relevent experience,Full time course,Masters,STEM,3,nan,nan,1,67,No
city_21,0.624,Male,Has relevent experience,nan,Graduate,STEM,1,nan,nan,1,14,No
city_73,0.754,Male,Has relevent experience,Full time course,High School,nan,4,10000+,Pvt Ltd,1,158,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,51,Yes
city_100,0.887,Male,No relevent experience,Full time course,Graduate,STEM,4,nan,nan,never,22,No
city_102,0.804,Male,Has relevent experience,Part time course,Primary School,nan,5,nan,nan,1,13,No
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,2,145,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Funded Startup,1,52,No
city_114,0.926,nan,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Pvt Ltd,3,55,No
city_73,0.754,Male,Has relevent experience,no_enrollment,High School,nan,<1,nan,Pvt Ltd,never,23,No
city_10,0.895,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,94,No
city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,nan,nan,>4,105,No
city_21,0.624,Female,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Funded Startup,2,34,Yes
city_21,0.624,Male,No relevent experience,no_enrollment,High School,nan,<1,nan,nan,never,23,No
city_65,0.802,Male,Has relevent experience,Full time course,Masters,STEM,5,100-500,Pvt Ltd,4,124,No
city_23,0.899,Male,No relevent experience,no_enrollment,Masters,STEM,14,50-99,Funded Startup,1,69,No
city_97,0.925,Male,Has relevent experience,no_enrollment,Masters,STEM,15,nan,nan,2,54,No
city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,188,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,never,79,No
city_21,0.624,Male,No relevent experience,Full time course,High School,nan,6,nan,nan,never,84,Yes
city_114,0.926,nan,No relevent experience,Full time course,High School,nan,4,nan,nan,nan,4,No
city_136,0.897,Male,Has relevent experience,no_enrollment,nan,nan,>20,10000+,Pvt Ltd,>4,52,No
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,2,84,No
city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,27,No
city_75,0.939,nan,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,>4,64,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Other,15,1000-4999,Pvt Ltd,1,145,No
city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,9,nan,Public Sector,never,166,No
city_11,0.55,Male,Has relevent experience,no_enrollment,Masters,STEM,2,50-99,NGO,1,6,No
city_83,0.923,Male,Has relevent experience,Part time course,Masters,STEM,6,10000+,Pvt Ltd,>4,10,No
city_75,0.939,Male,No relevent experience,no_enrollment,Primary School,nan,6,nan,Pvt Ltd,never,99,No
city_128,0.527,nan,No relevent experience,Full time course,High School,nan,2,nan,nan,1,300,Yes
city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,4,100-500,Pvt Ltd,3,52,No
city_115,0.789,Female,Has relevent experience,Full time course,Phd,STEM,8,100-500,Pvt Ltd,>4,11,No
city_103,0.92,Male,No relevent experience,no_enrollment,High School,nan,3,1000-4999,Public Sector,1,55,No
city_104,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,3,5000-9999,Pvt Ltd,1,102,No
city_45,0.89,nan,No relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,never,29,No
city_150,0.698,Male,No relevent experience,no_enrollment,Primary School,nan,3,nan,Pvt Ltd,never,31,No
city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,2,16,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,1,194,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Pvt Ltd,3,80,No
city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,5,50-99,Pvt Ltd,1,156,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,15,nan,nan,1,56,No
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,2,66,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,18,100-500,Pvt Ltd,1,158,No
city_114,0.926,Female,Has relevent experience,no_enrollment,Graduate,STEM,15,<10,Pvt Ltd,1,12,No
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Pvt Ltd,>4,3,No
city_65,0.802,nan,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,never,64,No
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,1,26,Yes
city_136,0.897,nan,No relevent experience,no_enrollment,Masters,STEM,7,500-999,Pvt Ltd,1,27,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,nan,nan,2,154,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,>4,50,No
city_114,0.926,Male,No relevent experience,Full time course,High School,nan,1,nan,nan,never,65,No
city_100,0.887,Male,Has relevent experience,Full time course,Graduate,STEM,10,100-500,Pvt Ltd,>4,116,No
city_114,0.926,Male,Has relevent experience,no_enrollment,High School,nan,8,50-99,Pvt Ltd,1,56,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10/49,Pvt Ltd,1,144,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,112,No
city_103,0.92,Male,No relevent experience,Full time course,High School,nan,6,50-99,Public Sector,2,111,Yes
city_138,0.836,nan,No relevent experience,no_enrollment,Graduate,Business Degree,<1,nan,nan,1,31,Yes
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,4,100-500,Early Stage Startup,4,11,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,6,10/49,Pvt Ltd,1,21,Yes
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,105,No
city_21,0.624,nan,Has relevent experience,Full time course,Graduate,STEM,2,10000+,Pvt Ltd,1,23,No
city_70,0.698,nan,No relevent experience,Full time course,Graduate,STEM,2,nan,Pvt Ltd,1,22,Yes
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,nan,nan,>4,14,No
city_67,0.855,Male,Has relevent experience,Full time course,Graduate,STEM,4,10000+,Pvt Ltd,3,30,No
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,nan,nan,2,23,No
city_145,0.555,nan,No relevent experience,no_enrollment,Graduate,Business Degree,<1,nan,nan,never,25,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,>4,140,No
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,10/49,NGO,2,13,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Early Stage Startup,1,24,No
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,1,15,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,10/49,Early Stage Startup,never,20,No
city_157,0.769,Male,No relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,50,No
city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Arts,4,nan,nan,1,6,Yes
city_28,0.939,nan,Has relevent experience,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,3,106,No
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,74,No
city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,4,306,No
city_41,0.8270000000000001,Male,Has relevent experience,nan,Graduate,Other,2,10/49,nan,never,107,No
city_98,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,9,<10,Funded Startup,3,24,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,1,6,No
city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Funded Startup,1,22,No
city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,2,112,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,>4,96,No
city_103,0.92,nan,Has relevent experience,no_enrollment,Masters,STEM,19,nan,nan,>4,51,No
city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,14,nan,nan,1,200,No
city_21,0.624,nan,Has relevent experience,Part time course,Graduate,STEM,3,10/49,Pvt Ltd,3,39,No
city_128,0.527,Male,Has relevent experience,no_enrollment,High School,nan,2,100-500,nan,never,7,Yes
city_138,0.836,nan,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,never,13,Yes
city_9,0.743,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,2,17,No
city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,4,50,No
city_21,0.624,nan,Has relevent experience,Part time course,Graduate,STEM,11,10/49,Pvt Ltd,>4,109,Yes
city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Funded Startup,never,4,No
city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,21,Yes
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,7,<10,Pvt Ltd,>4,48,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,1,32,Yes
city_103,0.92,nan,No relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,>4,204,No
city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,nan,nan,>4,90,No
city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,140,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,25,No
city_28,0.939,Male,No relevent experience,Full time course,High School,nan,2,500-999,Pvt Ltd,1,54,No
city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,31,Yes
city_71,0.884,Male,No relevent experience,Full time course,Graduate,STEM,7,nan,nan,never,38,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,5,10/49,NGO,1,104,No
city_10,0.895,Other,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,1,36,No
city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,nan,1,90,No
city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,100-500,Pvt Ltd,1,36,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,NGO,4,272,No
city_162,0.767,Male,Has relevent experience,Part time course,Graduate,STEM,<1,nan,nan,1,54,Yes
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,nan,1,96,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,nan,1,50,No
city_136,0.897,nan,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Public Sector,2,52,No
city_41,0.8270000000000001,Male,Has relevent experience,Full time course,High School,nan,4,50-99,Early Stage Startup,1,18,Yes
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,>4,268,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,100-500,Pvt Ltd,4,13,No
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,2,18,Yes
city_21,0.624,Male,No relevent experience,no_enrollment,High School,nan,5,nan,nan,never,21,No
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,nan,Pvt Ltd,1,9,Yes
city_21,0.624,nan,Has relevent experience,Full time course,Graduate,STEM,1,50-99,NGO,never,5,Yes
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,1,180,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,>4,7,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Pvt Ltd,3,7,Yes
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,4,32,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,3,6,No
city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,42,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,<10,Pvt Ltd,1,19,Yes
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,>4,17,No
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,2,34,No
city_16,0.91,nan,Has relevent experience,no_enrollment,Masters,STEM,15,nan,nan,1,14,No
city_102,0.804,Male,No relevent experience,Full time course,Graduate,STEM,6,nan,nan,1,33,Yes
city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,<10,Pvt Ltd,1,316,No
city_150,0.698,nan,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,4,43,No
city_65,0.802,Male,Has relevent experience,no_enrollment,High School,nan,<1,500-999,Pvt Ltd,2,97,No
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,nan,nan,1,54,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,>4,8,No
city_104,0.924,Male,No relevent experience,no_enrollment,Graduate,STEM,3,nan,nan,>4,34,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,5,nan,nan,2,54,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,2,19,No
city_114,0.926,Male,No relevent experience,Full time course,High School,nan,10,5000-9999,Pvt Ltd,1,65,No
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,3,22,No
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Other,1,112,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,>4,6,Yes
city_165,0.903,Male,Has relevent experience,Full time course,Graduate,STEM,4,5000-9999,Pvt Ltd,never,56,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,3,<10,Pvt Ltd,2,10,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,10/49,Pvt Ltd,1,113,No
city_103,0.92,Female,No relevent experience,nan,nan,nan,5,nan,nan,never,31,No
city_16,0.91,nan,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,2,45,No
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,Humanities,>20,1000-4999,Pvt Ltd,1,30,No
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,1,80,No
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,No Major,>20,100-500,Pvt Ltd,>4,116,No
city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,1,46,No
city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,No
city_104,0.924,Male,No relevent experience,Full time course,Masters,STEM,>20,500-999,NGO,2,24,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Early Stage Startup,1,220,Yes
city_21,0.624,Female,No relevent experience,no_enrollment,Graduate,STEM,2,10/49,nan,never,59,Yes
city_136,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,7,10/49,Early Stage Startup,1,24,No
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,nan,1,140,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,2,62,Yes
city_114,0.926,Male,No relevent experience,Full time course,Masters,Business Degree,18,nan,nan,2,83,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,3,22,Yes
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,161,No
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,15,10/49,Pvt Ltd,>4,18,Yes
city_98,0.949,nan,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Funded Startup,2,35,No
city_157,0.769,Male,Has relevent experience,Part time course,Masters,STEM,11,nan,nan,1,17,No
city_21,0.624,nan,No relevent experience,Part time course,Graduate,STEM,7,5000-9999,Pvt Ltd,2,109,No
city_114,0.926,Male,No relevent experience,Part time course,High School,nan,10,10000+,Pvt Ltd,2,42,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,Yes
city_50,0.8959999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,72,No
city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,6,nan,nan,1,13,No
city_103,0.92,nan,Has relevent experience,no_enrollment,Masters,STEM,13,10000+,Pvt Ltd,1,50,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Arts,12,10000+,Pvt Ltd,4,59,No
city_115,0.789,nan,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,2,38,Yes
city_160,0.92,Male,Has relevent experience,Full time course,High School,nan,3,50-99,Funded Startup,1,264,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,NGO,2,86,Yes
city_9,0.743,nan,No relevent experience,nan,Graduate,STEM,2,nan,nan,never,22,Yes
city_152,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,89,Yes
city_23,0.899,nan,No relevent experience,no_enrollment,Graduate,STEM,5,100-500,Public Sector,>4,34,No
city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,nan,nan,>4,51,Yes
city_114,0.926,Male,Has relevent experience,Part time course,Graduate,STEM,11,10/49,Funded Startup,1,90,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,5,nan,nan,1,112,Yes
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,3,167,Yes
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,4,33,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,52,No
city_102,0.804,Male,Has relevent experience,no_enrollment,High School,nan,>20,50-99,Funded Startup,1,110,No
city_71,0.884,Female,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Public Sector,>4,27,No
city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,1,16,No
city_160,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,4,100-500,NGO,1,54,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,3,17,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,never,298,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,10,50-99,Pvt Ltd,1,90,No
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,nan,nan,>4,18,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,1,30,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,>4,134,No
city_21,0.624,Female,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,3,86,No
city_41,0.8270000000000001,Male,Has relevent experience,Part time course,Graduate,STEM,5,100-500,NGO,1,94,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,Early Stage Startup,3,12,Yes
city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,nan,nan,1,22,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,Pvt Ltd,3,28,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,29,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,3,33,No
city_21,0.624,Male,No relevent experience,Full time course,High School,nan,<1,nan,nan,never,96,No
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,1,22,No
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,19,10/49,Funded Startup,3,12,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,nan,nan,2,44,No
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Pvt Ltd,1,50,Yes
city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,nan,nan,4,244,No
city_74,0.579,Male,Has relevent experience,no_enrollment,nan,nan,5,10/49,Pvt Ltd,3,39,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,18,nan,nan,never,96,No
