Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,target
C,Ship,3,4,154,2,low,M,29,1016,Yes
F,Road,5,4,262,6,low,M,3,1700,No
F,Road,3,3,176,2,low,F,58,1730,Yes
C,Road,3,1,169,2,medium,F,1,4783,Yes
D,Ship,4,5,172,2,medium,M,7,4559,No
F,Flight,4,1,247,3,low,F,9,2414,Yes
F,Ship,4,3,138,3,medium,M,15,1080,Yes
A,Ship,4,4,245,2,low,M,6,5772,No
C,Ship,4,3,225,5,low,M,8,4195,No
F,Road,4,5,159,3,low,M,2,1048,Yes
D,Ship,4,5,247,2,medium,F,9,4656,No
A,Ship,3,4,148,3,low,M,1,4387,No
F,Ship,5,3,245,4,high,M,8,4129,Yes
B,Ship,4,3,137,3,medium,M,9,5016,No
D,Ship,5,2,281,4,high,F,5,3357,Yes
F,Ship,5,5,270,3,low,F,9,5807,Yes
C,Road,3,3,168,2,low,F,9,4608,No
F,Flight,3,5,175,3,high,F,6,5150,No
C,Ship,3,1,199,2,medium,F,18,3346,Yes
C,Flight,3,3,149,3,medium,F,3,4189,No
F,Ship,5,4,225,5,low,F,6,2000,No
F,Ship,6,1,257,4,medium,F,3,5656,Yes
F,Ship,4,3,242,2,low,M,9,4876,No
C,Road,3,3,219,3,low,M,4,5956,No
B,Ship,4,3,158,6,medium,M,43,1478,Yes
A,Ship,3,3,220,7,low,M,25,2141,Yes
D,Ship,6,5,290,4,medium,F,3,1463,Yes
D,Ship,3,2,145,2,low,F,44,1212,Yes
A,Ship,5,3,197,3,medium,F,2,4678,Yes
D,Ship,2,1,148,2,low,M,10,5939,Yes
A,Ship,5,5,228,3,medium,F,8,4731,Yes
A,Flight,3,4,97,4,low,M,32,1238,Yes
F,Ship,2,5,228,3,low,M,8,5643,Yes
D,Ship,5,2,260,5,low,M,9,1809,Yes
D,Road,4,5,140,2,medium,F,5,4347,Yes
F,Ship,6,5,291,4,low,M,3,1102,Yes
D,Ship,3,3,143,3,medium,M,23,1281,Yes
D,Ship,4,4,162,10,high,M,12,1583,Yes
B,Ship,5,2,173,4,low,M,21,1674,Yes
B,Ship,3,2,205,3,high,M,3,4563,Yes
D,Ship,5,4,241,3,medium,M,40,3484,Yes
F,Flight,2,3,134,3,low,M,4,5958,No
F,Ship,6,5,150,3,medium,M,3,5747,No
F,Ship,3,5,154,2,medium,M,6,4675,Yes
F,Ship,3,4,148,5,medium,F,50,1540,Yes
F,Ship,3,2,224,3,low,F,7,5896,No
F,Ship,3,4,153,2,medium,M,37,1740,Yes
A,Ship,4,4,154,3,low,F,7,4106,Yes
A,Ship,3,1,169,3,low,F,6,4081,Yes
B,Road,4,1,260,3,low,M,9,4239,No
F,Road,3,2,247,2,medium,M,39,3189,Yes
A,Ship,5,3,232,5,medium,F,2,1057,Yes
F,Ship,4,1,282,4,medium,M,10,5065,No
A,Road,5,4,262,6,medium,F,1,1177,No
F,Ship,4,1,246,6,low,M,4,1489,No
A,Road,4,1,140,3,low,M,4,5210,Yes
C,Road,4,4,203,5,low,M,36,3912,Yes
F,Ship,5,2,269,2,medium,F,9,5672,No
A,Ship,5,4,209,4,low,F,10,5461,No
C,Ship,3,2,248,3,medium,M,8,5171,No
C,Flight,5,2,178,3,low,M,48,1517,Yes
B,Ship,4,5,273,5,medium,F,7,1409,No
A,Ship,4,1,197,2,low,F,2,5685,No
F,Ship,4,2,230,3,high,F,5,5888,No
A,Ship,3,3,264,3,medium,F,6,4247,Yes
B,Flight,3,3,150,2,medium,M,3,5836,No
A,Ship,5,1,200,8,low,F,18,3806,Yes
B,Flight,3,1,151,2,low,M,60,1925,Yes
D,Ship,4,4,228,5,low,M,6,1853,Yes
F,Ship,4,5,268,2,medium,M,46,3076,Yes
A,Road,3,1,139,3,low,F,4,4666,No
B,Flight,4,2,222,2,medium,M,5,4268,No
B,Ship,5,2,140,3,medium,F,16,1969,Yes
A,Ship,5,5,246,5,low,F,6,1911,No
D,Ship,5,3,209,2,high,F,49,2581,Yes
F,Flight,3,3,168,4,low,F,2,4541,Yes
F,Ship,3,1,274,4,low,M,3,5979,No
C,Ship,4,4,209,3,high,F,5,5979,No
F,Flight,4,1,179,3,low,M,63,1215,Yes
A,Ship,3,1,149,2,medium,F,7,4147,Yes
D,Ship,6,3,292,4,low,F,8,1434,No
C,Ship,5,4,226,6,low,F,3,1223,Yes
A,Ship,6,4,121,5,low,M,23,1734,Yes
B,Ship,6,2,256,5,medium,F,2,1449,Yes
A,Road,4,5,274,10,medium,F,5,3910,Yes
B,Ship,4,5,239,5,low,F,7,1001,Yes
F,Ship,4,5,200,4,medium,F,2,4947,No
C,Flight,4,4,248,3,high,F,10,4532,No
D,Road,4,4,189,2,low,M,5,4553,No
F,Ship,3,3,212,3,medium,M,10,5724,Yes
A,Ship,3,5,257,3,low,M,5,5657,No
D,Ship,5,3,210,3,medium,M,9,5912,No
A,Ship,3,3,159,3,low,M,3,5230,Yes
F,Road,4,2,231,3,high,M,3,5112,No
F,Ship,4,4,201,3,low,F,2,5385,No
A,Ship,3,4,150,2,low,M,1,4742,No
A,Road,3,2,237,2,high,M,26,3103,Yes
F,Road,6,1,306,4,low,M,1,1210,No
B,Flight,4,2,233,4,low,M,7,1861,No
A,Ship,4,3,196,2,low,F,5,5656,No
A,Ship,4,5,196,3,low,F,4,5610,No
F,Ship,4,2,206,2,medium,M,4,5159,No
B,Road,4,1,158,3,low,F,32,1061,Yes
B,Ship,3,5,284,2,low,M,10,5619,No
F,Ship,5,4,226,2,low,M,6,4547,No
F,Ship,4,4,217,6,medium,M,9,1974,No
F,Ship,4,4,224,4,medium,F,2,4503,Yes
D,Ship,4,4,188,4,low,F,10,4571,Yes
F,Ship,4,3,166,4,medium,F,1,4536,No
F,Ship,3,4,136,3,medium,M,2,4524,Yes
B,Flight,3,3,158,3,low,M,1,5502,No
F,Ship,5,4,154,2,low,F,5,5528,No
F,Ship,5,4,234,3,low,F,2,4269,No
A,Ship,6,1,264,4,low,M,9,1243,No
C,Flight,2,5,202,3,low,M,50,2587,Yes
B,Ship,3,2,234,2,medium,M,8,4012,Yes
A,Ship,4,3,287,5,medium,M,6,4376,Yes
C,Road,5,3,258,3,medium,F,1,5719,No
A,Ship,4,2,161,4,low,F,9,4713,Yes
F,Ship,4,4,144,8,medium,M,6,4390,Yes
F,Ship,4,2,254,7,low,F,6,5121,No
F,Ship,5,4,274,5,low,M,6,1969,No
B,Ship,4,2,266,3,medium,M,7,5121,No
F,Flight,3,4,245,2,medium,F,1,4427,No
C,Ship,3,4,238,2,medium,M,7,5974,No
C,Ship,4,4,176,6,high,M,5,4494,Yes
F,Flight,4,2,186,2,low,M,2,5604,Yes
D,Road,5,2,262,6,medium,M,10,3164,Yes
B,Road,5,1,282,4,low,F,9,4766,No
F,Ship,5,2,173,2,low,M,7,5836,No
D,Flight,6,4,305,4,low,F,7,1172,Yes
D,Flight,3,1,168,4,medium,F,9,5136,No
F,Flight,5,4,235,5,low,F,8,1549,No
F,Road,4,2,146,3,low,F,4,5659,No
A,Ship,4,5,248,4,high,F,56,2840,Yes
A,Ship,3,5,233,2,medium,M,1,4913,No
F,Road,4,3,136,3,low,M,6,4911,Yes
D,Flight,3,2,286,6,high,F,5,5588,No
A,Road,5,2,262,5,medium,M,1,1483,No
A,Ship,5,5,134,2,medium,M,64,1785,Yes
F,Ship,4,5,263,2,medium,M,13,2779,Yes
C,Ship,4,5,246,3,medium,F,7,4956,No
B,Flight,3,2,272,3,medium,F,40,3766,Yes
D,Ship,5,2,266,5,low,F,1,1504,Yes
A,Ship,5,1,175,3,medium,F,64,1110,Yes
F,Ship,4,3,216,2,low,M,4,5997,No
F,Ship,5,1,271,5,low,F,5,1869,Yes
C,Ship,4,5,258,3,low,F,3,5422,Yes
A,Ship,4,4,218,4,medium,F,10,4967,No
A,Flight,5,3,270,5,low,F,1,1568,Yes
F,Ship,3,3,234,3,low,F,6,5652,No
D,Ship,4,4,180,3,low,M,3,5031,No
D,Flight,4,2,266,3,high,M,1,5532,Yes
D,Ship,4,3,151,4,medium,M,13,1583,Yes
F,Ship,4,5,259,2,medium,F,4,4092,Yes
D,Flight,5,2,223,3,low,F,51,3687,Yes
F,Ship,4,1,258,3,medium,F,4,3686,Yes
F,Ship,3,4,136,2,medium,F,54,1056,Yes
C,Ship,4,4,249,10,medium,F,2,4190,No
F,Ship,6,5,274,4,low,M,6,1066,No
C,Road,6,3,175,4,low,M,3,4143,No
D,Ship,4,3,162,2,low,M,2,1714,Yes
B,Ship,3,2,272,3,low,M,7,5657,Yes
F,Ship,3,1,226,2,low,M,18,2319,Yes
B,Ship,3,3,219,3,high,M,5,4321,No
F,Ship,6,5,245,4,low,F,7,1521,No
D,Ship,4,2,161,4,low,F,10,5322,No
B,Ship,3,2,203,3,high,M,3,2791,Yes
B,Ship,4,5,155,3,low,F,10,5315,Yes
D,Ship,3,3,242,3,low,F,51,3935,Yes
D,Ship,3,1,183,4,low,M,5,5326,No
C,Flight,2,1,173,2,high,M,1,4135,Yes
A,Ship,3,5,266,2,high,F,3,5195,No
D,Road,4,5,233,3,medium,F,43,3856,Yes
D,Ship,5,1,241,3,high,M,8,5306,Yes
C,Ship,6,4,286,4,low,F,8,1690,Yes
F,Ship,5,3,236,6,medium,M,9,3715,Yes
B,Ship,2,4,147,2,medium,F,65,1738,Yes
D,Ship,3,4,245,10,medium,M,1,5363,No
B,Ship,4,4,181,3,medium,F,9,4425,Yes
F,Ship,3,1,187,2,high,M,56,3774,Yes
D,Ship,2,3,273,4,low,M,3,5079,No
F,Ship,4,5,278,6,low,M,4,3909,Yes
B,Ship,3,5,214,3,low,F,6,5319,No
A,Ship,4,1,253,3,low,M,31,3632,Yes
F,Flight,4,5,249,3,low,F,7,5509,No
D,Flight,4,4,185,3,high,F,6,4238,Yes
F,Ship,6,1,208,5,low,M,6,4537,No
C,Road,4,1,271,5,medium,F,3,1328,No
F,Ship,6,5,261,5,low,M,1,5442,No
C,Road,6,4,294,3,medium,M,7,1455,No
D,Ship,3,3,140,2,medium,M,55,1847,Yes
D,Flight,4,4,220,2,medium,F,7,2551,Yes
A,Flight,3,2,227,2,medium,M,9,4659,No
D,Ship,5,1,176,4,low,F,1,4270,Yes
B,Ship,4,2,269,5,low,F,45,2383,Yes
A,Ship,6,4,306,4,low,F,8,1691,Yes
F,Ship,3,5,174,2,low,F,4,5692,No
B,Ship,4,5,270,10,medium,M,9,5085,Yes
C,Flight,5,2,255,5,medium,M,4,1634,No
B,Ship,4,4,260,2,low,M,17,3068,Yes
C,Ship,4,4,273,5,low,M,10,1316,No
F,Ship,3,2,264,2,low,M,6,5702,Yes
F,Ship,3,2,98,3,medium,F,60,1057,Yes
F,Ship,5,1,233,3,low,F,9,5039,No
C,Road,5,1,253,6,medium,M,12,2486,Yes
C,Ship,6,1,189,2,low,F,6,1269,No
D,Ship,3,4,209,2,high,F,5,4363,No
B,Ship,4,2,274,2,low,M,10,4361,No
A,Ship,6,3,260,5,low,M,8,1324,Yes
F,Ship,4,2,225,2,medium,F,5,5943,No
B,Ship,4,4,138,7,medium,M,65,1530,Yes
C,Ship,5,1,240,5,medium,F,5,4144,No
F,Flight,6,5,256,5,low,M,10,1686,No
F,Road,5,2,254,6,low,F,5,1951,No
D,Ship,6,2,232,3,medium,F,7,5219,Yes
F,Flight,5,4,245,5,low,M,6,3592,Yes
C,Road,4,3,137,3,medium,F,10,4820,Yes
D,Ship,3,2,189,2,low,M,6,4488,Yes
D,Ship,6,4,310,4,medium,M,1,1494,Yes
F,Ship,5,5,151,3,medium,M,2,5506,No
F,Flight,6,3,254,4,low,M,6,1335,No
A,Ship,6,5,254,4,low,M,7,1674,No
D,Ship,3,4,240,3,medium,M,8,4410,No
F,Flight,3,3,154,4,medium,F,62,1616,Yes
F,Ship,4,5,199,2,low,F,8,4463,No
D,Ship,2,3,142,3,medium,F,38,7640,Yes
C,Flight,6,3,306,4,low,F,5,1490,Yes
A,Flight,4,1,195,2,low,F,3,4165,No
C,Ship,4,4,172,3,medium,F,1,4201,No
F,Ship,3,5,176,2,medium,F,8,5597,Yes
F,Flight,4,1,220,2,medium,M,38,2368,Yes
F,Ship,2,3,188,3,medium,F,51,3191,Yes
F,Ship,4,3,235,3,medium,F,4,5748,Yes
B,Flight,3,5,256,2,medium,F,4,5368,Yes
F,Ship,3,2,191,3,high,F,42,2374,Yes
D,Road,2,3,170,8,low,M,61,1240,Yes
A,Ship,2,2,161,2,medium,F,1,1642,Yes
F,Ship,5,5,227,3,medium,M,36,3952,Yes
F,Ship,3,4,243,2,medium,M,1,5840,Yes
B,Road,5,3,203,2,low,F,37,3531,Yes
F,Ship,4,5,201,8,medium,F,4,5472,Yes
C,Ship,4,2,210,3,low,M,8,5672,Yes
A,Ship,3,2,215,4,high,M,1,4158,No
C,Ship,5,3,252,4,medium,M,63,3729,Yes
C,Ship,4,3,189,3,medium,F,9,4825,No
F,Ship,5,5,236,2,medium,M,2,5210,No
F,Ship,5,1,181,3,low,F,6,5423,No
D,Ship,3,5,194,3,medium,F,10,2277,Yes
F,Ship,6,4,299,4,low,M,9,1527,No
A,Road,2,2,134,3,low,F,38,1530,Yes
D,Ship,3,4,268,2,medium,F,4,1442,Yes
A,Ship,5,1,217,2,medium,M,6,5518,No
B,Ship,2,1,219,4,low,M,6,5124,No
A,Ship,4,3,261,3,low,F,6,2787,Yes
C,Flight,4,2,142,3,medium,F,6,4918,No
A,Ship,4,3,276,4,low,F,3,3889,Yes
F,Flight,4,4,265,2,medium,F,9,4106,No
B,Flight,4,1,212,3,low,M,2,4353,Yes
A,Ship,3,4,250,6,medium,M,1,4543,Yes
F,Ship,6,2,244,4,low,F,4,1245,Yes
D,Ship,4,2,204,2,low,F,1,4533,No
D,Ship,4,5,143,8,low,M,38,1095,Yes
F,Flight,3,5,245,4,medium,M,4,2769,Yes
A,Ship,3,5,192,2,low,F,7,5069,Yes
A,Flight,3,4,224,2,low,M,8,4162,No
C,Ship,3,1,259,4,low,F,9,4084,Yes
A,Ship,4,4,251,4,low,F,10,5984,No
B,Ship,4,1,231,2,medium,M,3,4696,No
F,Flight,7,4,264,4,medium,M,6,1265,No
C,Ship,6,5,279,4,medium,M,7,1300,No
A,Ship,3,3,249,3,low,M,10,5184,No
D,Ship,5,1,189,2,medium,M,8,5219,No
C,Flight,3,4,183,3,low,F,1,5959,Yes
B,Ship,2,1,241,3,medium,F,5,5697,Yes
D,Ship,3,5,224,2,low,F,10,4445,No
C,Ship,3,2,221,3,low,F,21,3686,Yes
D,Ship,6,2,271,10,medium,F,2,4145,No
C,Ship,3,4,174,2,medium,M,51,1430,Yes
D,Flight,4,5,211,2,low,F,4,4106,Yes
F,Flight,3,1,224,2,low,M,9,4007,Yes
F,Road,4,4,173,3,low,M,10,4616,No
F,Flight,4,3,248,2,medium,F,2,4700,No
A,Ship,4,2,255,4,low,F,62,3198,Yes
F,Ship,5,1,212,3,low,F,11,2073,Yes
F,Ship,3,5,231,2,medium,M,49,2341,Yes
F,Flight,6,3,171,5,high,M,61,1947,Yes
D,Ship,3,1,167,3,low,F,4,5943,Yes
B,Road,3,3,249,3,medium,M,51,2173,Yes
B,Flight,5,5,256,3,medium,F,6,4145,Yes
F,Ship,5,1,249,4,medium,M,5,1027,Yes
F,Ship,3,2,174,3,low,F,3,5207,Yes
A,Ship,3,1,248,3,medium,M,7,5588,No
A,Flight,5,3,187,3,low,M,2,5967,No
F,Road,3,2,257,3,medium,M,2,5486,Yes
F,Ship,6,5,215,4,medium,M,5,5409,Yes
F,Ship,4,5,274,2,low,F,2,4492,Yes
C,Ship,2,3,257,2,low,F,1,5331,Yes
A,Ship,7,3,286,4,low,F,3,1670,No
D,Flight,6,4,186,2,low,M,5,4851,Yes
B,Flight,5,1,247,5,low,M,10,1562,Yes
F,Ship,5,4,254,6,low,M,4,1850,Yes
A,Ship,4,3,223,3,low,F,10,5560,Yes
F,Ship,5,3,246,2,medium,F,1,4533,No
F,Ship,4,4,265,3,low,M,10,4741,No
F,Ship,3,3,138,2,medium,F,40,1117,Yes
F,Ship,4,3,253,5,low,M,6,1366,Yes
D,Ship,4,4,266,7,medium,M,3,5672,Yes
D,Ship,5,4,131,8,low,M,7,4471,No
A,Flight,3,1,153,3,low,M,9,4404,No
C,Ship,4,1,134,3,medium,M,2,4983,No
A,Ship,4,1,252,5,medium,F,1,1538,Yes
B,Ship,5,1,159,2,medium,F,5,4382,No
A,Ship,3,2,144,4,medium,M,8,4867,Yes
B,Ship,3,1,230,2,low,F,1,4970,Yes
F,Ship,3,2,224,3,medium,M,2,4015,No
F,Ship,6,2,247,4,low,F,3,1752,No
F,Ship,3,1,232,2,medium,F,2,5104,Yes
F,Ship,4,5,251,5,medium,F,6,1434,No
F,Flight,5,2,226,3,medium,F,1,5451,No
A,Ship,6,5,269,4,low,M,5,1264,Yes
F,Ship,4,2,197,2,low,F,1,4977,No
F,Road,4,4,190,2,low,M,2,4460,No
C,Road,4,3,146,3,low,M,41,1140,Yes
B,Ship,3,2,243,3,medium,M,31,3943,Yes
B,Ship,3,1,180,7,medium,M,10,5536,No
C,Ship,4,2,200,3,medium,M,7,4323,No
B,Ship,5,5,191,4,medium,F,10,4933,Yes
C,Ship,6,3,251,4,low,M,1,1230,Yes
B,Ship,5,3,237,5,medium,F,4,1733,Yes
F,Road,5,1,248,2,low,F,6,5281,No
C,Road,4,3,192,3,low,F,10,4068,No
D,Ship,3,5,168,3,medium,M,7,4296,No
