"param_index","n.trees","interaction.depth","n.minobsinnode","shrinkage","bag.fraction"
1110,669,4,6,0.0221323275569672,0.52010513804853
1111,221,1,12,0.0553776210677784,0.977382723428309
1112,1456,3,20,0.0195697146691336,0.657996261119843
1113,513,2,5,0.00122399415936844,0.6565749110654
1114,106,5,4,0.00374807373565124,0.3606180626899
1115,124,2,18,0.00138196432897935,0.651461957022548
1116,603,4,5,0.00330968062661072,0.953927003219724
1117,151,5,23,0.0406164663278615,0.420353359729052
1118,4770,3,4,0.00189974842550375,0.831468746252358
1119,2355,1,3,0.00650957630778541,0.652125777490437
1120,168,3,3,0.00341963301681314,0.41552917342633
1121,133,5,7,0.00640904479392672,0.840006064996123
1122,1302,3,19,0.0200729076490214,0.494776510633528
1123,1190,2,15,0.0596623832540883,0.224885859340429
1124,344,1,16,0.0428933106911204,0.758565969020128
1125,175,1,19,0.00402670859493088,0.45861617103219
1126,626,3,21,0.00710014803161072,0.703961167670786
1127,561,1,15,0.00104501537958795,0.714110324345529
1128,2074,4,11,0.0269227254404097,0.312732034549117
1129,2571,1,3,0.0919003309320873,0.790765904448927
1130,462,2,24,0.00800827734451007,0.420110435411334
1131,1494,1,16,0.00869622452420073,0.530854315310717
1132,10032,3,17,0.00437906987542367,0.70218701325357
1133,485,3,4,0.00123232467594497,0.995393117889762
1134,4881,1,12,0.00266180652282061,0.62972123529762
1135,924,3,11,0.00407701919708476,0.726297858729959
1136,5236,5,6,0.00106206134878311,0.295440525375307
1137,319,2,6,0.00258062331020346,0.993808189593256
1138,1680,1,9,0.0120196729328532,0.813275960460305
1139,268,2,19,0.0161556942130608,0.707046395353973
1140,1746,3,2,0.00447387354284732,0.768510300666094
1141,3046,2,8,0.00359981716474041,0.4487618714571
1142,506,5,10,0.0632825322901975,0.768987297452986
1143,744,5,22,0.00263303747579184,0.264581959508359
1144,222,2,10,0.0402172332262968,0.958842302300036
1145,5535,5,15,0.00909022393124055,0.265719571523368
1146,119,4,4,0.0118299280841066,0.372198827378452
1147,865,3,18,0.023881398165017,0.373336613737047
1148,309,2,5,0.0367613132100948,0.786922332830727
1149,510,3,7,0.00195508662319179,0.302457107417285
1150,5712,3,16,0.0085544446629126,0.743718102015555
1151,4684,4,23,0.00131909305312328,0.719609897211194
1152,5328,3,19,0.00167282617843933,0.916281990520656
1153,2035,2,9,0.00189276205950706,0.745323020033538
1154,175,3,19,0.00102357635766112,0.206351616233587
1155,9417,5,3,0.00187480855605891,0.36805149000138
1156,107,1,13,0.0296615511419448,0.629057640582323
1157,5946,2,22,0.00261772933522186,0.916374283097684
1158,1613,2,5,0.0638097086373475,0.437502723187208
1159,302,1,25,0.00841659795919887,0.496042793430388
1160,3178,2,18,0.0455761811679333,0.921242041327059
1161,286,4,23,0.00589495546531038,0.298697535321116
1162,391,4,25,0.00616061379693724,0.911336447484791
1163,8661,5,14,0.00116201449425405,0.431143497116864
1164,4496,3,15,0.0161315086475713,0.287716519087553
1165,1023,2,19,0.0342151165358427,0.511473006941378
1166,695,2,13,0.00220605264568954,0.282145447470248
1167,996,2,12,0.0362189404218877,0.797509296052158
1168,242,5,25,0.0066161493096008,0.553530524857342
1169,775,4,9,0.0517842478262509,0.28556558471173
1170,940,3,20,0.00713341656735236,0.815601239353418
1171,1224,2,6,0.0010334499320814,0.401555267907679
1172,249,5,23,0.00354436395721423,0.873574659414589
1173,167,1,17,0.0034774112870235,0.836385102011263
1174,939,3,17,0.0110059025990068,0.418814968131483
1175,3284,4,14,0.0251110285211668,0.610458205640316
1176,9043,3,24,0.0288190740950904,0.77958949226886
1177,126,2,12,0.0110380648382426,0.497572763264179
1178,5471,1,23,0.00124362703569702,0.810244722850621
1179,8087,3,18,0.0267372429434978,0.214354489184916
1180,463,4,11,0.0303045149530724,0.836397708766162
1181,321,2,2,0.00110056460879839,0.705995196662843
1182,1094,4,21,0.00504025915677916,0.768549199216068
1183,179,4,16,0.0371440146395562,0.255427464284003
1184,4549,5,8,0.0873490989850255,0.665651284717023
1185,781,5,8,0.00481676761994923,0.979819753393531
1186,172,2,6,0.0406918261857617,0.345060892030597
1187,1755,1,24,0.00624819259759035,0.701570103503764
1188,555,2,22,0.00380167809565946,0.487720610015094
1189,402,1,2,0.0974870280471081,0.220358594693244
1190,912,5,8,0.00239424260737656,0.454333111457527
1191,276,3,16,0.00196769509245262,0.551957548782229
1192,8125,2,7,0.00897171784260218,0.821462738886476
1193,679,4,10,0.0133524355224722,0.794900196604431
1194,473,1,16,0.026036112055654,0.622951737046242
1195,2539,5,20,0.00466046735414435,0.215542842261493
1196,7922,1,10,0.023682786450933,0.645667370222509
1197,176,3,11,0.00675103488952054,0.515877688862383
1198,119,3,7,0.00363953785886027,0.943545712716878
1199,329,4,22,0.0471956087712527,0.698013476654887
1200,504,5,18,0.057703742416237,0.865681244246662
1201,154,2,17,0.0155448864596837,0.620197311416268
1202,6950,2,18,0.0133827364363391,0.569051591679454
1203,140,3,12,0.027110865529293,0.958644497394562
1204,113,2,9,0.00233432597066974,0.724840815551579
1205,4253,3,9,0.00117667553108012,0.464685746096075
1206,348,2,20,0.00172062145176484,0.525536653213203
1207,202,3,7,0.00113712445926072,0.792010573484003
1208,1095,1,25,0.00347298891581257,0.512199641019106
1209,3041,4,22,0.0624167689365584,0.453366193175316
1210,595,4,5,0.00120323229199183,0.351208409480751
1211,750,3,2,0.0507752342464651,0.290881517529488
1212,5148,2,4,0.0150116005074684,0.412345915287733
1213,109,5,3,0.00379808656778756,0.465094457566738
1214,807,2,18,0.0063262194693319,0.987779101356864
1215,4041,1,17,0.00917879122370712,0.73422865010798
1216,2702,3,19,0.0359524205066417,0.936503413133323
1217,231,3,23,0.0451467954956006,0.251823640987277
1218,1739,1,22,0.00578286662039774,0.5003533128649
1219,443,5,22,0.0211802338097121,0.848496456071735
1220,269,3,15,0.0113392007832622,0.510206696763635
1221,2564,4,21,0.0202376645592909,0.433259221166372
1222,7619,1,21,0.0492182355969623,0.795299848541617
1223,203,2,6,0.0125845776343352,0.39192465543747
1224,9237,5,22,0.00123136058879373,0.382955205254257
1225,176,1,15,0.0179901657729169,0.999095061421394
1226,192,4,25,0.00655488814260193,0.596115673705935
1227,7556,5,17,0.053367819141824,0.207007731869817
1228,1420,4,5,0.00147696241989153,0.856469373032451
1229,2767,2,6,0.0107181489097579,0.328266559913754
1230,343,5,13,0.00559596865549109,0.553658526204526
1231,689,4,22,0.0951148651291383,0.891781798377633
1232,655,1,18,0.0101077546175068,0.640937615372241
1233,243,5,23,0.0337050010486028,0.843124497681856
1234,125,3,13,0.0737872880743211,0.71398537941277
1235,6638,3,13,0.0077841068020723,0.281439821049571
1236,9157,1,3,0.00806668125221604,0.650307231210172
1237,3129,2,4,0.00128736281372219,0.80431177187711
1238,4003,5,25,0.0659485545706261,0.874731360375881
1239,1185,1,8,0.0138763694604131,0.677054882980883
1240,1540,2,15,0.00294988479469153,0.778091497346759
1241,130,1,21,0.00198548976636611,0.286901424266398
1242,2446,4,14,0.0182922022743837,0.466694134101272
1243,171,5,14,0.0388302607937846,0.237712204270065
1244,5444,3,2,0.0798148740716709,0.242306446097791
1245,302,5,2,0.0429940316266049,0.765123500488698
1246,1612,4,25,0.0581893332578099,0.781493612378836
1247,397,1,15,0.0170867400130972,0.657164492830634
1248,8398,4,23,0.00278013772695459,0.336092634126544
1249,7352,1,10,0.00146395288928697,0.919949159026146
1250,599,2,13,0.0050878166857611,0.280623077601194
1251,309,1,16,0.00171978937571842,0.503967048972845
1252,580,2,6,0.00598908419326075,0.209247198328376
1253,1768,4,25,0.00328627637596747,0.91503188367933
1254,4232,3,10,0.0786855865972029,0.27506038043648
1255,102,4,12,0.00200433679566905,0.775386728532612
1256,177,5,5,0.0208679919205994,0.851877809874714
1257,3617,1,9,0.0969287542641069,0.740745759010315
1258,8393,4,20,0.0019913890294266,0.68718731328845
1259,1446,1,14,0.00235599899933252,0.673779857717455
1260,207,1,15,0.0129727223264631,0.644942164793611
1261,171,3,21,0.064551379193638,0.758699260093272
1262,8063,3,14,0.0012278410182315,0.293531935662031
1263,417,4,2,0.057067402310376,0.477712557278574
1264,2593,3,13,0.00325290512214695,0.807107695750892
1265,3483,3,18,0.0296110687427332,0.525385084748268
1266,3432,1,9,0.0189397024731837,0.35844398830086
1267,349,3,15,0.0147626117518511,0.204220219329
1268,218,4,16,0.0037552877235276,0.716072481870651
1269,176,3,11,0.0892672144736655,0.701620194874704
1270,3783,1,4,0.0889075856422038,0.765622633136809
1271,719,1,4,0.00575227214085573,0.38614776302129
1272,8039,5,3,0.00554937188447421,0.814661961793899
1273,740,5,20,0.00992000837098754,0.806540522538125
1274,2604,2,25,0.00688396750044244,0.369682316854596
1275,832,2,17,0.00220094481084137,0.610975779779255
1276,153,5,20,0.00215714969931341,0.971984931826592
1277,438,3,3,0.00230053276791668,0.502179612405598
1278,2978,3,8,0.0542572631829141,0.809132331050932
1279,2249,3,21,0.0209868520677341,0.686160518974066
1280,8379,5,5,0.00415923446410793,0.602520916424692
1281,206,2,4,0.00702599405614598,0.683429059945047
1282,233,3,7,0.00297560386909803,0.21798382718116
1283,3394,1,6,0.0675931256667195,0.389200717955828
1284,3051,5,10,0.0210279294145786,0.295239753648639
1285,132,3,3,0.0277214749924697,0.443903783895075
1286,249,1,23,0.0296893703163232,0.240915375202894
1287,172,1,14,0.0620139349412374,0.375426070392132
1288,311,2,21,0.0567005464061309,0.205874587595463
1289,160,1,11,0.0291915157981374,0.87673155516386
1290,109,1,6,0.0119160678805725,0.228019977360964
1291,8804,4,14,0.0717997768446087,0.78217312078923
1292,7423,5,13,0.00901412496169262,0.230008885264397
1293,3219,1,21,0.017026385295533,0.543496251478791
1294,464,4,10,0.0099481927105074,0.307914278097451
1295,171,4,5,0.00462166828248283,0.203343305177987
1296,3267,3,21,0.0559318068499841,0.279988955333829
1297,685,4,4,0.013239543145437,0.509005903452635
1298,2615,2,4,0.00310559231314384,0.259281213954091
1299,7507,1,23,0.00832242926539163,0.708244902826846
1300,2356,2,15,0.0170641699719305,0.97535621393472
1301,849,5,12,0.00304080297278669,0.576483644172549
1302,480,1,25,0.0423103044828098,0.774200915917754
1303,336,2,23,0.00616510508881327,0.626075250841677
1304,863,3,6,0.0119162726417703,0.753282605856657
1305,1772,1,24,0.00312361815173008,0.692808781005442
1306,385,5,25,0.00462931574950065,0.812942229956388
1307,929,2,15,0.0113572720833422,0.21440889518708
1308,138,1,19,0.054251116715235,0.832334278523922
1309,371,3,23,0.00234735340198119,0.891049791686237
1310,3959,1,8,0.00755800378960964,0.401416692696512
1311,1545,3,23,0.0415489963233957,0.807619455642998
1312,452,3,2,0.00140419359583561,0.701216508075595
1313,233,4,21,0.0070282541591676,0.559531255438924
1314,4863,5,25,0.00362419944882594,0.875981890596449
1315,657,2,20,0.0101036181615538,0.364551550522447
1316,4552,4,19,0.00172577858941573,0.580504414439201
1317,2325,4,12,0.00186353939112969,0.73709229528904
1318,183,4,22,0.0347839984436506,0.801093083061278
1319,4483,2,23,0.00274040849914427,0.459282042272389
1320,1521,2,6,0.0063136889809656,0.433600430563092
1321,1306,1,23,0.0050488927794649,0.999289276264608
1322,600,1,5,0.0982440330702771,0.448046109266579
1323,4305,5,8,0.0893436294508293,0.658154437877238
1324,268,1,21,0.0336360507431631,0.721021050214768
1325,190,1,20,0.00124740964449654,0.75366887524724
1326,185,1,14,0.00794480374377046,0.702917617000639
1327,4238,2,7,0.0371788100981871,0.73641934003681
1328,254,5,16,0.0629209975755532,0.478434484638274
1329,8283,3,11,0.00110980992619081,0.460943402536213
1330,1392,5,13,0.0797233036206532,0.706150859408081
1331,1480,4,12,0.00110889813396387,0.717321400158107
1332,3457,4,8,0.00285377248119927,0.21314530223608
1333,133,2,10,0.0658344339926952,0.365806918591261
1334,2521,4,2,0.00327026000739399,0.429821172356606
1335,1202,4,19,0.00826069881199027,0.867429159767926
1336,207,4,23,0.0672211123446703,0.593104423582554
1337,7064,3,3,0.0311895447094784,0.874339846894145
1338,625,2,8,0.0551331584506083,0.430883037485182
1339,197,5,8,0.0873473738241919,0.247418607026339
1340,573,3,11,0.00359268014815222,0.61667071711272
1341,2036,5,16,0.00237456375993686,0.983349948748946
1342,7608,1,13,0.00496796592192397,0.423852699249983
1343,4964,4,20,0.0157314378341138,0.611301266588271
1344,1649,3,5,0.00156579246563706,0.893799132108688
1345,169,3,6,0.0221655027982113,0.243591777607799
1346,9432,5,6,0.0239694204763204,0.364114555157721
1347,142,5,2,0.00136327429628842,0.793726335279644
1348,393,1,19,0.054022347120397,0.930811650678516
1349,4111,4,21,0.00119766675978572,0.83710631094873
1350,6544,4,13,0.0121892031031863,0.449183219857514
1351,9980,1,5,0.00137893648613385,0.653318639472127
1352,2225,3,6,0.00521017934506061,0.310996461473405
1353,726,4,4,0.0578833557579326,0.603931884653866
1354,525,1,6,0.0114091228663504,0.708309599757195
1355,3543,2,7,0.00124419243265322,0.970857550576329
1356,128,3,3,0.0102734731592455,0.356188568659127
1357,4472,2,24,0.00318158797334694,0.680009602569044
1358,288,2,10,0.00855904459049935,0.982958249002695
1359,706,4,4,0.0014368878384231,0.751178519427776
1360,1051,2,5,0.0011967201732141,0.692725309543312
1361,199,5,16,0.0020708285847414,0.64931451138109
1362,167,4,7,0.00173404001202326,0.535351842269301
1363,4441,5,9,0.0326204353301827,0.516424010880292
1364,326,3,16,0.0148048137376542,0.421282254345715
1365,3180,2,25,0.00924398228244023,0.801143823936582
1366,710,2,3,0.0799852757862314,0.834551096148789
1367,3998,3,14,0.00164375073533463,0.742640598118305
1368,437,5,24,0.0602579308975487,0.600088413432241
1369,1432,1,20,0.038063631236222,0.611694801785052
1370,3144,3,14,0.00638911313727954,0.622117248363793
1371,236,1,4,0.0280785026305029,0.734895347431302
1372,3079,2,25,0.0119420941687287,0.914806278981269
1373,6354,4,6,0.00926467267074126,0.898866302706301
1374,6674,3,9,0.00669289871920237,0.482002178020775
1375,1377,5,15,0.0121727637594553,0.529867779277265
1376,998,3,11,0.00177972778554948,0.490880414284766
1377,7115,2,18,0.00272131533606949,0.772611155733466
1378,607,2,23,0.0543784935231839,0.454739793203771
1379,333,3,19,0.00888239425279144,0.281657986342907
1380,1794,5,17,0.0240852642651695,0.629094871133566
1381,6712,1,16,0.00153656277449381,0.629099973104894
1382,6949,4,25,0.0261359540788618,0.455247415043414
1383,158,4,6,0.00273160743163538,0.337234863452613
1384,986,4,12,0.0121223673932238,0.204896943643689
1385,773,2,8,0.0482198799029635,0.646098923124373
1386,3281,4,18,0.00238607238693973,0.703071052208543
1387,6999,4,10,0.0128024909230132,0.514177831448615
1388,4374,3,25,0.0449060430243693,0.634272892400622
1389,1138,1,4,0.0334372437320147,0.266779598221183
1390,1025,4,8,0.00468132298697086,0.609357079491019
1391,2075,1,9,0.00393840289806927,0.212769477255642
1392,699,4,25,0.00409140895104665,0.967862264998257
1393,754,2,22,0.00268422942638116,0.221053026430309
1394,1946,1,19,0.00212241830544704,0.667351132258773
1395,323,2,21,0.0171532632223476,0.553927937150002
1396,522,3,14,0.00141732556379799,0.570001547411084
1397,212,2,4,0.00671625032494011,0.574253718741238
1398,182,1,9,0.00264263636412286,0.782160424813628
1399,9751,5,3,0.00364160004309484,0.735055895708501
1400,1229,5,17,0.0109322820522832,0.79934753999114
1401,1378,2,10,0.0226515943019491,0.485386722162366
1402,103,1,6,0.0447706323907157,0.744537586718798
1403,6413,5,4,0.0377973245002782,0.574631673842669
1404,403,3,25,0.020717217574541,0.323788068071008
1405,108,1,6,0.0334208375426798,0.683363887108862
1406,1660,4,11,0.00387593762253108,0.906745184957981
1407,531,5,19,0.00976453512405167,0.930557850003243
1408,599,5,21,0.013262000963726,0.731919991970062
1409,325,1,25,0.0461790246830401,0.8355533240363
1410,267,1,15,0.00770932836606092,0.304389215447009
1411,823,4,13,0.00445800100852105,0.448900769278407
1412,6151,3,15,0.0042765789358611,0.873986901529133
1413,4539,1,8,0.00246225745632074,0.34718970824033
1414,111,1,18,0.00554152754808794,0.500077856145799
1415,119,1,25,0.00960108214140968,0.565307758562267
1416,3352,1,14,0.0449435088880079,0.773258973844349
1417,334,2,2,0.025010919360536,0.829989321529865
1418,4509,1,15,0.00344482798617347,0.731713134422898
1419,218,1,6,0.00400777689715541,0.733110536821187
1420,373,1,3,0.00620985060637742,0.989719263464212
1421,136,4,5,0.00242816953195014,0.775168505497277
1422,237,5,16,0.0659486328484931,0.399966980144382
1423,960,4,21,0.0655302960704751,0.641057579219341
1424,9263,2,9,0.00142668029342006,0.279849071241915
1425,7380,1,2,0.00964160947056737,0.421000106818974
1426,304,5,9,0.0676000846416355,0.948813709616661
1427,633,1,16,0.00265384980642926,0.476057471707463
1428,2238,5,8,0.0537046166097058,0.416707026772201
1429,8956,5,25,0.0325738158083306,0.740847261808813
1430,123,4,21,0.00109682724032642,0.7468800034374
1431,333,4,13,0.0163307491586374,0.910251542180777
1432,5854,5,6,0.00707656095028599,0.530640215799213
1433,133,5,7,0.0954063275667774,0.619309670291841
1434,107,2,9,0.0138187106615997,0.932668532431126
1435,1620,4,8,0.00268208918011998,0.315784109197557
1436,907,4,21,0.0621297587911041,0.536127997934818
1437,381,3,6,0.00337085669970849,0.628285055980086
1438,803,5,8,0.00508311150459189,0.347308415360749
1439,717,1,11,0.0459699535183715,0.687197624146938
1440,1648,3,25,0.0275675695766844,0.843479262292385
1441,106,1,17,0.0321785448757329,0.953368621878326
1442,215,2,14,0.00247686293364817,0.582361684180796
1443,670,2,6,0.0380787946886478,0.904705637507141
1444,822,1,12,0.0447448995156657,0.492362780496478
1445,490,4,21,0.00994793710769907,0.813128196075559
1446,1017,1,2,0.00502101373325634,0.955818163603544
1447,1489,2,6,0.00127237407452381,0.597054433636367
1448,1331,2,16,0.00263370056989069,0.918274435214698
1449,152,4,13,0.00111754241675414,0.488451900333166
1450,8424,5,16,0.00432304579189487,0.829809826985002
1451,300,5,14,0.0127872001125405,0.933081731572747
1452,514,1,12,0.0395413205528281,0.328219861164689
1453,324,2,17,0.0042186797134588,0.502757395803928
1454,174,3,10,0.00193230667853436,0.860769481398165
1455,589,1,2,0.00370279554885963,0.305384123139083
1456,7875,5,10,0.00324593538818064,0.749076421372592
1457,3427,2,22,0.0683445597372433,0.335964986123145
1458,224,2,13,0.0398274652504942,0.412966934032738
1459,301,5,13,0.00690874983507494,0.52479913495481
1460,3561,5,8,0.0060855063484953,0.932077529653907
1461,2432,4,4,0.00652091943697689,0.463220292702317
1462,6518,1,16,0.00114395023182515,0.667518675513566
1463,768,2,6,0.00588232017129877,0.257099269889295
1464,1380,5,13,0.00118948193492137,0.277527392469347
1465,174,1,22,0.0579433097933266,0.431760727800429
1466,2773,3,6,0.00531267886276231,0.475541872531176
1467,5641,2,23,0.0627172441248099,0.970182293467224
1468,3583,3,25,0.00539401712527619,0.636365711316466
1469,5023,3,23,0.0163535331209893,0.458096975646913
1470,8072,2,10,0.00212950121158021,0.620171969570219
1471,3685,4,21,0.0764608319800696,0.997674189507961
1472,1035,5,10,0.0267188758348629,0.511254361644387
1473,117,4,4,0.00187498572276528,0.53787009678781
1474,1018,5,15,0.00290441164572761,0.33930333442986
1475,503,3,22,0.00491415346009177,0.701699902489781
1476,5005,2,13,0.00276467632042702,0.295045912079513
1477,3212,5,19,0.0058878652775894,0.343954101577401
1478,404,4,2,0.0443412601185859,0.742716932669282
1479,8227,1,17,0.0314838214385906,0.85830003451556
1480,333,5,14,0.0065042213254729,0.777185922116041
1481,2220,2,9,0.00316524316876729,0.864393735863269
1482,1975,4,16,0.00106017844459559,0.892740408144891
1483,239,4,7,0.01087093413093,0.90448072552681
1484,182,1,13,0.00921519231441492,0.560947907529771
1485,470,3,8,0.0478945987568786,0.390228376165032
1486,1383,2,19,0.029550684135696,0.970244292728603
1487,111,4,12,0.0208003937980925,0.398271464183927
1488,6096,4,24,0.0567422368327048,0.650651048123837
1489,288,5,14,0.00343219628735464,0.579810806177557
1490,725,3,3,0.00221370368476846,0.96311295107007
1491,972,3,12,0.0110401570890365,0.343429994210601
1492,1090,2,20,0.0285807273646445,0.941026541404426
1493,778,1,17,0.00452184157786557,0.520941053517163
1494,5653,1,20,0.0281886033666097,0.32800283189863
1495,120,1,13,0.00265220606697515,0.497187391482294
1496,984,5,3,0.0635712897435241,0.659685605764389
1497,261,5,6,0.0575018871416958,0.210915740765631
1498,234,1,20,0.00324439897963539,0.458799268119037
1499,1351,3,22,0.00160515583784141,0.278184598870575
1500,1773,1,18,0.00746370299397203,0.992859752476215
1501,4514,5,13,0.0171110626676911,0.952096753008664
1502,137,3,5,0.00139012100878268,0.651548879034817
1503,9526,5,18,0.0112097305722442,0.924812448211014
1504,8647,2,25,0.0168293743883633,0.627689668908715
1505,3392,4,24,0.0269197969921388,0.493593601323664
1506,971,1,2,0.00613201547692198,0.725542576611042
1507,1265,3,12,0.00126538886544439,0.427326521277428
1508,264,3,2,0.0692404490753512,0.313454913906753
1509,171,5,9,0.00387085859921585,0.582558524794877
1510,3536,4,21,0.0137669673906735,0.563596432469785
1511,4660,3,21,0.085041958663752,0.23754256926477
1512,122,4,23,0.0121525256248701,0.932845369167626
1513,7792,4,23,0.00109199470782329,0.720523364841938
1514,229,5,25,0.0424979827810222,0.395638057589531
1515,445,4,20,0.0189410858786113,0.956848135776818
1516,297,3,17,0.00385218585634201,0.487720198370516
1517,755,2,20,0.020162791120091,0.517488692700863
1518,538,3,20,0.0563118466364964,0.474222221970558
1519,1073,2,23,0.0798136112708173,0.715887936204672
1520,4170,1,24,0.00123421215986262,0.350893424451351
1521,8336,4,5,0.0699301195224563,0.766690326854587
1522,539,1,7,0.00947143341588191,0.387103249691427
1523,544,4,3,0.065878028706528,0.411358049698174
1524,138,2,12,0.0654690753367465,0.463225852511823
1525,5987,4,13,0.00456661449145376,0.22647122964263
1526,1281,3,2,0.00328952459359155,0.512216267734766
1527,1186,3,25,0.0352326069843077,0.806186960078776
